epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,360.569,0.54622,0.3443,0.8468,0.99137,0.92142,0.93657,0.80942,0.60774,0.35052,0.84638,0.00170696,0.00170696,0.00170696
76,365.333,0.53719,0.33714,0.8357,0.99024,0.91814,0.93621,0.80489,0.61116,0.34669,0.84791,0.001703,0.001703,0.001703
77,369.713,0.54494,0.33762,0.84388,0.99073,0.91965,0.93636,0.79909,0.63597,0.35244,0.85116,0.00169904,0.00169904,0.00169904
78,375.116,0.54416,0.33864,0.84405,0.99019,0.92237,0.93751,0.81215,0.60912,0.35055,0.85087,0.00169508,0.00169508,0.00169508
79,379.697,0.54644,0.34111,0.84538,0.99069,0.92087,0.9376,0.80817,0.62095,0.35677,0.8495,0.00169112,0.00169112,0.00169112
80,384.256,0.56769,0.34467,0.84479,0.9925,0.92036,0.94056,0.81276,0.61839,0.35345,0.84956,0.00168716,0.00168716,0.00168716
81,389.648,0.53154,0.33467,0.84368,0.99016,0.91991,0.9396,0.80704,0.62105,0.35522,0.84924,0.0016832,0.0016832,0.0016832
82,394.056,0.53078,0.33286,0.84377,0.99047,0.92005,0.93988,0.81079,0.62106,0.34564,0.84937,0.00167924,0.00167924,0.00167924
83,398.511,0.54993,0.34084,0.84195,0.99144,0.92046,0.93683,0.80765,0.60298,0.35079,0.84448,0.00167528,0.00167528,0.00167528
84,403.84,0.5461,0.33775,0.84767,0.99208,0.92318,0.93673,0.80659,0.60917,0.34794,0.84812,0.00167132,0.00167132,0.00167132
85,407.924,0.51793,0.32816,0.84014,0.99205,0.92046,0.93705,0.80673,0.61142,0.34875,0.84878,0.00166736,0.00166736,0.00166736
86,412.298,0.51457,0.33003,0.83522,0.99095,0.91978,0.9369,0.81297,0.60061,0.34762,0.84783,0.0016634,0.0016634,0.0016634
